story,maslow
Joanne and jaime were teenagers with high ambitions of making a lot of money in a short period. They managed to get a business going selling mdma to their fellow high school students. They were caught by a teacher and were expelled from school.,2
John was sad after breaking up with his girlfriend. He started to write piano music to forget about his heart break. John ended up really enjoying piano and it became his passion to play whenever possible.,1
"She is mary, she has more disappointments, so she feel lonely She is angry with friends for breaking her promise, so she shouting She is very happy that she knows it was all a surprise party, so she is dancing",1
Jack and jill were upset with each other over a small fight they had. Jack decided he'd try to explain his point of view fully and help jill understand they can be friends. Jill knew he was being sincere and they forgave one another.,1
"Kevin was heartbroken when he found out that he had over-watered his favorite plant and it died. So he studied hard about plants. Despite his efforts, this time he did not water, and the plants withered to death.",2
"The boy crying the garden His father goes for a drive to please his son. He returns home, but his younger brother is angry with his older brother and father who left him and went out to play.",1
Aston ran home from school when she got the news that her mother was very sick. Aston's mom had been diagnosed with cancer and had been getting worse by the day. Her mom died the next day as ashton sat by her bedside holding her hand.,1
"Soldier is returning home from war. They spend the rest of their lives singing together on the piano. They received good psychic readings from tarot cards and psychics, and they lived happily ever after.",1
"Tom was sick and spent many days in the hospital, sad and lonely. A new doctor came in to treat tom. Tom is now fully healed and happy with his new girlfriend.",0
"The homeless man lost his job and had to beg for money. He saved all the money people gave him. With the money he saved, he was able to buy a house.",0
"James was homeless and had no money. Fortunately, he got a job as a construction worker. While digging on the site, he found a large wad of cash and got rich!",0
"John explored medieval maps to find the treasures hidden by the ancient kings. He began his journey in search of ancient treasures. After years of searching and traveling, he found a treasure.",2
"Trevor was invited to his neighbors barbeque where there was a lot o food. Trevor ate a variety a foods and forget to check if any had peanuts since he was allergic. After a while, trevor became ill and needed to go to the hospital.",0
Noah attends a singing contest and is very nervous about the competition. He sings very well in competitions. Finally he gets the prize.,2
"Brandon enlisted to fight overseas in afghanistan even though he was really scared. On his way to enlisting, brandon got into a car accident instead and missed his chance to join the military. Now brandon can follow his dream of being a standup comic instead of going to war.",2
Matt was lonely and depressed from working so much. He decided to go shopping to throw a get-together with his friends and family. He prepared a massive feast which everyone enjoyed.,1
Samuel is a lazy man. He is always late to work. He was fired from his job and is extremely unhappy.,2
"Johnny was sad because he got sick and was recovering in the hospital. One night he suddenly got his energy back and felt much better, the medicine was working. Now Johnny has completely recovered and is back playing his favorite sport, soccer, with his friends.",0
"After the fight, jackson left tom's house and tom went for a run. On tom's run, he passed by a car wreck. When tom looked at the car wreck, he noticed jackson was being put into the ambulance due to broken bones from the wreck.",0
"Sarah was such a lovable cat. One day her owner got very sick. They her own, a little girl, died and left sarah all alone.",1
Jessica was fast asleep dreaming in her bedroom. She was being chased by an unknown shadow in her dreams. She got up and realized that it was her dream and started laughing.,2
John is a great singer. One day while he was walking on the road he got dizziness and sweating He was admitted in the hospital and is getting treatment.,0
Sachin really worked hard for his family needs. Yuvraj was a hacker who hacked sachin's bank account and transferred all his money. Sachin cried a lot when bank staff informed about this hacking issue to him.,0
"Greg loved the beach and decided to take a wonderful trip to see the ocean. Greg packed his car and drove to the beach. Another driver turned on a red light and crashed into the side of Greg's car, ruining the trip.",2
"Johnny was sad because he had fallen ill and was in the hospital recovering. Late one night he suddenly got his energy back and was feeling a lot better, the medicine was working. Now johnny is fully recovered and is back to playing his favorite sport, soccer, with his friends.",0
"She is laughing very loudly to feel the happy emotions so expressed. She won the lottery, and much money make individuals more satisfied and cheerful. She quit her job and dancing like nobody's watching and live like it's heaven on earth.",2
"Jessica and tony have been best friends since they met on the first day of school. One day after school, jessica hugged tony and told him she had a crush on him. A few years later, when the pair were in high school, tony confessed to jessica that he had a crush on her and wanted to ask her out.",1
Brad turned off the television because the pictures weren't very good. Brad did his best to repair the television using the tools. Brad realized he could have a good time by playing the piano instead.,2
He wanted to be a soldier when he grew up. He grew up to be a soldier. They put him in a corpse bag and sent him home to bury him with full military honors.,2
"The boy very fever so admit the hospital. Since the boy was the leader of the national football team, he had to inform the team manager that he was hospitalized. The team manager attend the meeting so the person is very sad.",1
"He is affected in fever so, he is admitted in hospital treatment. She is affected in pimples, so she is sad feel. A woman is attacked by an animal, so she is fear look",0
She has a fever and is being hospitalized. She is affected by acne because of the heat and feels sad. She found that the skin disease was contagious and that she couldn't be invited to the party.,0
"She bought a present for his child. On the way home, she saw a poor man in need and helped. She gave some food to the poor for her family.",2
Accident that 2 cars in opposite. car in the person was injury. Person admit the hospital for leg injury in accident so not go to walk for few months Person is cure for go to walking and healthy,0
Leslie ran through some bushes in the park. Leslie had to go to the doctor. Leslie was very allergic to the bushes and had to stay in the hospital.,0
Mia decided to get rich instantly with what she had. Mia decides to get it through gambling. But mia's decision ended wrong. he lost all his money and became a debtor.,0
Daria rushed home after school to play a new video game. She still had to finish her homework before playing video games. She finished her homework in record time and was finally able to play.,2
"Susan was poor, dumb and had few friends, but was a marvel at playing the piano. She decided to start her YouTube channel to show off her piano playing skills. She quickly became popular and performed many gigs, and she started making more money than she thought.",2
Marvin bought a new house and furnished it elegantly. Marvin enjoyed spending time and working in his home office. The faucet in his house leaked and completely flooded marvin's new home.,1
"I loved playing games at a very young age. As a teenager, I practiced my favorite video game for hours every day. Now I am making a lot of money as a pro gamer.",2
Lisa and mathew fall in love with each other Lisa and mathew had an heated argument Lisa and mathew decided to separate after the argument,1
Daria rushed home to play her new video game after school. She still had to do her homework before she could play the video game. She did her homework in record time and was finally able to play her game.,2
"Melissa goes to the airport toilet to freshen up. Melissa spends more than 30 minutes there dressing and freshening up. When she comes out there was an announcement that the flight was taking off, which shocked her.",2
A little boy was in the hospital because he wasn't feeling well. he was very ill and had to stay in bed all day hooked up to an iv. A doctor came in to see him and gave him a bad diagnosis. The little boy died shortly after and was buried in a grave next to a hill.,0
A person admitted in the hospital A girl if feeling sad see in herself on the mirror A girl is trying to escape from the men who chasing her in dream,0
"John had a bad fight with his sister beth and walked away. At home, john felt sorry for how rude he was to beth. John ran back to beth, hugged her tight and apologized.",1
Jack likes to play football in his free time. On 23rd monday jack went to play football with his friends. While playing football jack fell down and he had severe pain in head so he was admitted in hospital.,0
Tony is a good singer and he loves emily from past two years One fine day he proposed emily but emily went suddenly without answering tony. After few days later she accept his proposal. tony is so happy.,1
"John was a fun baby and loved to make his mom laugh. At the age of 18, he decided to do stand-up comedy. John immediately became popular and became the biggest celebrity in his town.",2
"Billy was sick in the hospital and dreamed of going to the beach. As soon as he got out of the hospital, he got on a plane and flew to the beach. The beach was beautiful and he enjoyed his time there.",2
"Pietro grew up wanting to be a police officer. He started working hard to become a police officer, he built a body and knowledge, and Pietro finally become a police officer on his 23rd birthday.",2
"On the way to the beach, Mary walks the wrong way and gets lost. Her path leads to some of the most beautiful beaches she has ever seen.",2
Steve was a soldier who was sent off to war. He wanted to provide a good life for his wife back home. Steve ended up dying in a car accident.,1
Tendulkar is a sincere worker who really worked hard for his family. Osama is a hacker who hacked tendulkar's bank account and he transferred all his money. Tendulkar cried a lot when he know about this hacking issue.,1
"Pat loved eating donuts. They went shopping for more donuts. While rushing home to eat their new donuts, they got into a bad car accident.",0
Jasmine's mother was in the hospital because she was very sick. Jasmine's mother died and was buried in the family cemetery. Jasmine cries every day because she misses her dear mother.,1
"Raju is a brilliant student. he is not only good at his studies, but also he is an excellent football player. playing football for his country is his ultimate aim. Raju's father is a poor man and his earnings are not enough to meet his family needs. he understands his son's wishes and motivates him to achieve his aim in life. he is a good motivator and works hard to earn money. Due to his father's motivation, raju is selected for the football world cup and played for his nation and wins the world cup. his father arranges a grand reception to receive his son who is the main reason for winning world cup. everyone is happy. hard work never fails.",1
The woman sees the shadow and is afraid and runs away. The woman is cuddled by an animal and she is terrified. She has a fever. So she rests in bed.,2
"Pietro wanted to police officer when he growing up He started working hard towards becoming a police officer , he built up his body and knowledge And peitro finally become a deputy officer on his 23rd birthday",2
"Ralph was getting ready to leave the office to go home. As he was driving, he saw they mayor participating the town parade. Because ralph didn't pay attention to traffic, he ended up getting into a car accident with another car.",0
Susan was at the railway station to pick up her daughter Susan and her daughter were chatting while driving back home Susan crashed her car at an intersection as she was not paying attention to the road.,0
Peter had been working hard on a presentation all month and he was nervous about how it would come across. The day of the presentation he had forgotten a vital piece of information so the presentation was not accurate. The next day when peter came in to work his boss informed him that he was fired.,0
Steve was lonely because he didn't have a significant other and spent all his time working. Steve decided to ask a woman that he knew out on a date. Steve and the woman got married and made a child together which they loved.,1
The great dictator was going to start a war He decided to have a parade instead Then an old man gave him a bird and he became very happy and called off the war.,1
"Bobby was a football player and had a tournament that week. Due to his rash driving, he met with an accident. He got admitted in the hospital and no longer play the match.",0
Ben was nervous but took a chance singing at a karaoke bar. Mary thought that ben was singing badly on purpose and laughed. Ben left the karaoke bar in tears and called one of his friends.,1
The train brought Billy to the beach for the first time. The train broke down and Billy thought he couldn't go to sea. The train started again and Billy was happy to see the sea for the first time!,2
"Joanna, a travel writer, had become bedridden after falling ill and her doctors couldn't figure out what was wrong. They conducted numerous tests and discovered that joanna had contracted a rare but curable illness while overseas. After a short course of treatment, joanna was back to normal and feeling great, able to laugh again now that her health had returned.",0
John is an athlete and is very fond of playing football. He travelled abroad along with other team players to play in summer olympics. He returned to his home town as the winner with a gold medal and received a grand welcome from the people.,1
Mary fretted over what to buy her rich friend for her birthday. She finally decided on a simply wrapped jewelry box. Her rich friend took one look at the gift and burst out laughing hurting mary's feelings.,1
My husband threw a surprise party for my 50th birthday and took me on a treasure hunt that led to an amazing surprise present. When i opened the last clue and was led to the final clue it was a poem about us going on a trip to scotland. The trip was the trip of a lifetime because i stood on the north end of scotland thinking about the clan and how important my heritage is to me.,1
The boy was suffering from fever After two days the boy was cured. and he is playing a football The boy went to the shopping. he bought everything what he likes,2
Woke up to find his favorite plant dead. Learned his company was laying everyone off. Won the lottery the next day.,0
"Sidney is a young man who is terribly stressed over an important presentation he has to give at his new, high-paying job. He tries his best on the presentation, but he makes many mistakes and his boss fires him. Sydney turns to food to console himself after his failure, and ends up obese, miserable, and alone.",2
A man named jon was very tired of the daily grind of his construction job. Jon decided to book a flight out to the wild west for a vacation. Jon spent his vacation in the great outdoors and found himself newly refreshed and inspired by life.,2
"Lisa was a beautiful girl, but somehow couldn't find a man who wanted to settle down and raise a family. One day, lisa was walking and met bill. Lisa and bill fell in love and began a family right away.",1
"Mr. brown was nearing retirement age and looking forward to spending his golden years in comfort. To boost his retirement income, mr. brown invested his savings in a fund that promised to return a high percentage. However, the fund turned out to be a scam and mr. brown lost his savings and his home, leaving him homeless and broke.",0
"Josh was in a car accident and was hospitalized and given pain medication. He became addicted to the pain killers and lost all motivation in life. He lost his job, relationship and home and ended up on the street begging for money and food.",0
Alex was feeling alone and isolated doing nothing but playing video games at home. He decided to go for a walk in the nearby park. On his walk he met a girl and fell in love.,1
"Tommy is an angry boy who fights with other boys and gets into trouble all the time. However, he discovers soccer in 6th grade and channels his energy and aggression into organized team activity. When he graduates from high school, tommy joins the military and uses the discipline he gained through sports to become a successful and highly decorated soldier.",2
Joan is pregnant with her first child. She went into labor and went to the hospital. She gave birth to a healthy girl.,0
Jack has severe head pain Jack went to the doctor Jack health improves and he starts jogging,0
"Kate met alex at a mutual friend's birthday party. They enjoyed each others company so much they ended up getting together every single day of the summer. Alex's father got transferred to japan and the whole family had to move, so alex and kate had to say goodbye, perhaps forever.",1
"Tommy was excited to visit his grandparents in another state with his father. Out of nowhere, another car crossed the center line and ran into tommy's car. Instead of visiting his family, tommy spent the holiday in the hospital.",0
"Alex is a young and dynamic person, who was working at a company. One day, he made a plan to go hiking in the desert alone. It was a bad decision as he fell ill after coming back from the hike.",0
A woman and her son were on a road trip to a country they had not been to. They came into a large dark tunnel and proceeded through it. When they came out of the tunnel they were greeted by a military man who arrested them.,0
The playing football in a ground The boy suddenly wanted to go to the beach and playing in a sand He drive a car it was accident,0
"He scored the winning goal with his amazing kick. He thought of his grandfather, who had always supported him in that moment. He was so proud of himself that he achieved his goal of winning the season.",1
Matthew was a famous singer and went abroad. His wife got sick and was in bed. He could not return home immediately and was crying for this incident.,1
"Rick got tired of watching tv all day and decided he'd play outside. Rick decided he was going to go to the park to play some soccer. He tripped while playing and broke a bone, making rick have to be hospitalized.",0
"Simon was a lonely child and didn't have any friends. To make himself feel good, simon turned to food and ate lots of sweets. Simon grew up and became a sad, overweight adult who only found comfort in food.",1
"Scientist Gregory went hiking one day. When Gregory reached the top of the mountain, he saw a huge lightning bolt. Gregory was inspired by his lightning to write innovative scientific papers in his field.",2
Sara was a 90 years old-lady. Sara did not have enough to eat. Because of hunger she died at last.,0
Gary plays soccer with his friends in wet weather. Gary enjoys a wide variety of junk food after playing. Gary falls ill and ends up in the hospital.,0
Jay got very drunk. Jay decided to go for a ride in his car and had a bad accident. Jay died after his car crash.,0
A man is working in military He travelled across the country without his family His daughter was worried about leaving his father.,1
Andrew was a hero and everyone wanted to get close to him. Andrew started to believe that all women wanted to be with him. Andrew's constant sexual harassment eventually caused his downfall and arrest.,2
I loved playing games at a very young age. As a teenager i practiced playing my favorite video game for hours each day. Now i am a professional gamer and making lots of money.,2
The boy is scared to ask the girl out on a date. The boy decides to be brave and ask her out by texting her. The girl happily accepted and is making herself pretty for the date.,1
"He has a beautiful garden in his house. However, he did not visit the garden because he remembered his dead wife. Finally, he visited the place to reminisce his memories with her wife and enjoyed the place.",1
Jane was so concerned about her pimples and pimples on her face that she went to the hospital for treatment. She was cured with medicine and medicine and looked beautiful and happy,2
"Patrick decides to change his job to become a stock trader. Patrick was warned of an upcoming market downturn, but he ignored the warning. He eventually loses all his money in the stock market and is now homeless.",2
"John was a funny baby, and loved to make his mom laugh. When he was 18, he decided to try stand-up comedy. John became an instant hit, and the biggest celebrity in his town.",2
Mia decided to become instantly rich with the amount she had. Mia decides to achieve it through gambling. But mia's decision ended up wrong. he lost all the money he had and became a debtor.,0
Ryan played an amateur piano on the street to raise money one day. Ryan played the piano so well that he appeared on the news and on TV. Ryan's performances in the news made him famous and made a lot of money as a pianist.,2
"Sofy went shopping and bought some groceries. After arriving home, she ate some of the food without knowing it was stale. After a while, she started vomiting and was taken to the hospital",0
"Billy was sick in the hospital and dreaming of going to the beach. As soon as he got out of the hospital, he got on a plane and flew to the beach. The beach was beautiful and he enjoyed his time there.",2
"Tom is the everyday average person who leaves his office job to go to a routine doctor's appointment. The doctor examines Tom and gives him some extra tests. Tom learns that he has a serious, incurable disease.",0
"Jimmy liked to eat a lot of sweets, like donuts and cupcakes. Jimmy ate so much candy that he put on weight a lot. At his next appointment, the doctor told Jimmy that he had high blood sugar and could get very sick.",0
John likes to play soccer John was injured while playing and was hospitalized. John is recovering from all his injuries,0
He was happy when he realized he was full after the first donut. He was glad he could catch the pot before it could boil over. They all agreed that fruit was the best option for dessert.,0
Victoria noticed she was much more hungry than usual with odd cravings. She goes to the doctor who tells her she is pregnant. Her deeply religious family shuns her because she is pregnant out of wedlock and nobody shows up to her baby shower.,1
"Doctor watson is a fertility specialist at the city's hospital. Kimberly swanson was just informed by doctor watson that after suffering through 8 years of infertility, she is pregnant. Kimberly relaxes after her baby shower knowing she will be a first time mom very soon.",1
The doctor told larry he needed to lose weight or would face serious health issues. Larry ignored the advice and continued to overindulge with snacks. Larry was laid to rest after a fatal heart attack.,0
Two person got into some disagreement and the boy went away from his girl friend. To resolve the conflict the girl was given the product to his boy friend. Then they re united happily and hugged each other.,1
"Mark was once a very healthy person and an avid runner. One day he became seriously ill and had to be hospitalized. Unfortunately, his doctor told him that he was terminally ill with an incurable disease.",0
There was a women who was going to become a mother of a girl. The father was always playing music for the baby girl. The girl loved her father's music so much she became the best dancer in town.,1
Jessica is a famous model and singer She met with a fire accident at an event and had burns on all over her body . She became ugly and scared on seeing her face in a mirror.,0
"Gary and terry played a fast paced and competitive soccer game. The game got so heated that the boys got into a skirmish on the field. Later that night gary and barry, who was a teammate of gary, called terry and they all apologized to each other and vowed to remain good friends.",1
Emily sat at home eating junk food all day. The doctor asked her to stop her bad habits and take up dancing. Emily followed his advice and is now a successful ballerina.,2
Charles wanted to me a motivational speaker but he was overweight and insecure Charles decided one day to motivate himself and exercise and lose weight to be healthy Charles felt confident again and became the motivational speaker he dreamed of being,0
Maria thought she wanted to get dressed up. She went into her bedroom and put on make-up. The girls in town made fun of Maria because they thought her make-up was ugly.,2
Stella went to gamble because she was in dire need of money. Luckily it was her night and she won a lot of money. She can't control her luck and laughed like hell at the money she won.,0
"Tom made a New Year's promise to all the fun adventures he'd been putting off for years. The next day, Tom hiked the Grand Canyon and he was living the life he wanted. Unfortunately his boss called him back to work and Tom had to return to his office the very next day.",2
Joseph and his son are travelling by car. He calls his friend and talks to him while driving. His distracting behavior while driving caused him a fatal crash.,0
Timmy got caught out in the rain while walking home from school and got very wet. The doctor came to look at timmy and said he had a very bad cold and a high fever. Timmy had to stay in bed for a week and could not see any of his friends because he was sick.,0
Bill fell asleep on his couch and was late to work. Bill got into a car accident as he rushed to work. Bill is arrested for causing the car crash,0
Bob was poor and didn't know where he could get money to pay his rent. Bob decided to rob a bank and get a lot of money. The police showed up shortly after and arrested bob for his crime.,0
"Billy was excited to travel as lock down was lifted But he was meet with an accident while driving his car Billy broken his leg and was admitted at the hospital, doctor said he has to take rest for at least 3 months",0
She drives to see her friend. She is meeting a new friend and sharing the happy . She is eating a cake because our favorite cake.,1
John was an athlete and used to practice every day. One day he has an accident and is hospitalized. A few days later he recovered and started playing football.,2
John was an athelete and he used to pratise everyday One day he met with an accident and was hospitalised After some days he recovered and started playing football,2
Jonathan has been sick for a week now and is in the hospital. The doctor comes to jonathans with possible good news about a new medication to treat his condition. The new medicine helps jonathan feel much better and he is now able to go hiking again.,0
The child was sick in the hospital The doctor came to visit The doctor said the child's parents had just been called to pick him up and that he would be fine,0
Cena is a famous football player One day cena life was changed because of his car accident Unfortunately he lost his right leg and he could not able play ever.,0
Mary was getting ready for her blind date. She met tom at the entrance gate to a beautiful park. Mary and tom had an amazing time at their picnic in the park and shared a hug after agreeing to go on a second date.,1
"Mary had not been feeling well and was worried about her baby in the final triamester of her pregnancy. She went to the doctor, and he came in with the news, the baby would need to come now. The baby was delivered and arrived into the world happy and healthy after giving his mother a fright.",1
"Caroline return to home from school with thinking about to buy a new makeup box . At evening caroline used her mother's lipstick and get ready for shopping to buy the makeup box. On the way for shopping she noticed a begger sitting near the shop, caroline felt pity about him,and gave the money to him which she kept to buy makeup box,after donating she felt very happy.",2
"Tom's father was an active marine. A war broke out in a foreign country, so he was deployed. Unfortunately, tom's father was killed in the war, and he misses him very much.",1
"The man, tom, had lost everything and was living on the street. Tom was left a fortune and decided to take music lessons. He went on to become a world renowned pianist.",2
